L0	L1	L2	L3	L4
02.10.2001	10.2001	Q4 2001	2001	*
20.12.1853	12.1853	Q4 1853	1853	*
13.03.2022	03.2022	Q1 2022	2022	*
23.08.1916	08.1916	Q3 1916	1916	*
20.02.1961	02.1961	Q1 1961	1961	*
27.06.2000	06.2000	Q2 2000	2000	*
07.03.1866	03.1866	Q1 1866	1866	*
23.03.2010	03.2010	Q1 2010	2010	*
29.11.1930	11.1930	Q4 1930	1930	*
16.12.1945	12.1945	Q4 1945	1945	*
03.09.1920	09.1920	Q3 1920	1920	*
18.05.1899	05.1899	Q2 1899	1899	*
28.12.1969	12.1969	Q4 1969	1969	*
14.11.1975	11.1975	Q4 1975	1975	*
21.04.1981	04.1981	Q2 1981	1981	*
16.01.1983	01.1983	Q1 1983	1983	*
20.11.1896	11.1896	Q4 1896	1896	*
26.01.1855	01.1855	Q1 1855	1855	*
24.11.1864	11.1864	Q4 1864	1864	*
28.12.1870	12.1870	Q4 1870	1870	*
18.08.1916	08.1916	Q3 1916	1916	*
04.06.1937	06.1937	Q2 1937	1937	*
04.1942	04.1942	Q2 1942	1942	*
17.04.1916	04.1916	Q2 1916	1916	*
15.10.1960	10.1960	Q4 1960	1960	*
06.09.1951	09.1951	Q3 1951	1951	*
16.12.1969	12.1969	Q4 1969	1969	*
27.05.2005	05.2005	Q2 2005	2005	*
10.07.1888	07.1888	Q3 1888	1888	*
26.09.1960	09.1960	Q3 1960	1960	*
30.06.2015	06.2015	Q2 2015	2015	*
24.02.1891	02.1891	Q1 1891	1891	*
16.03.1858	03.1858	Q1 1858	1858	*
21.05.1894	05.1894	Q2 1894	1894	*
05.02.1914	02.1914	Q1 1914	1914	*
18.04.1952	04.1952	Q2 1952	1952	*
11.04.1920	04.1920	Q2 1920	1920	*
17.06.2014	06.2014	Q2 2014	2014	*
18.12.1925	12.1925	Q4 1925	1925	*
07.06.1904	06.1904	Q2 1904	1904	*
11.11.1990	11.1990	Q4 1990	1990	*
19.03.2020	03.2020	Q1 2020	2020	*
04.04.1998	04.1998	Q2 1998	1998	*
12.11.1968	11.1968	Q4 1968	1968	*
03.08.1921	08.1921	Q3 1921	1921	*
04.07.1853	07.1853	Q3 1853	1853	*
30.06.1927	06.1927	Q2 1927	1927	*
10.06.1941	06.1941	Q2 1941	1941	*
02.06.1878	06.1878	Q2 1878	1878	*
16.06.1890	06.1890	Q2 1890	1890	*
16.12.1948	12.1948	Q4 1948	1948	*
18.09.1983	09.1983	Q3 1983	1983	*
14.09.2005	09.2005	Q3 2005	2005	*
26.10.1995	10.1995	Q4 1995	1995	*
20.10.1913	10.1913	Q4 1913	1913	*
02.05.1874	05.1874	Q2 1874	1874	*
15.01.1930	01.1930	Q1 1930	1930	*
05.01.1979	01.1979	Q1 1979	1979	*
19.10.1878	10.1878	Q4 1878	1878	*
07.01.2004	01.2004	Q1 2004	2004	*
06.03.1892	03.1892	Q1 1892	1892	*
05.10.2012	10.2012	Q4 2012	2012	*
10.1893	10.1893	Q4 1893	1893	*
08.10.1901	10.1901	Q4 1901	1901	*
17.05.1917	05.1917	Q2 1917	1917	*
03.08.1940	08.1940	Q3 1940	1940	*
15.11.1966	11.1966	Q4 1966	1966	*
30.08.1949	08.1949	Q3 1949	1949	*
21.11.1958	11.1958	Q4 1958	1958	*
01.01.1884	01.1884	Q1 1884	1884	*
07.06.1975	06.1975	Q2 1975	1975	*
07.08.1978	08.1978	Q3 1978	1978	*
08.10.1877	10.1877	Q4 1877	1877	*
14.10.1989	10.1989	Q4 1989	1989	*
28.05.1966	05.1966	Q2 1966	1966	*
30.12.1985	12.1985	Q4 1985	1985	*
Q2 1994	Q2 1994	Q2 1994	1994	*
02.06.1895	06.1895	Q2 1895	1895	*
12.03.1979	03.1979	Q1 1979	1979	*
11.05.1907	05.1907	Q2 1907	1907	*
17.03.1954	03.1954	Q1 1954	1954	*
29.06.2019	06.2019	Q2 2019	2019	*
26.12.1992	12.1992	Q4 1992	1992	*
03.08.1966	08.1966	Q3 1966	1966	*
06.11.1985	11.1985	Q4 1985	1985	*
09.07.1994	07.1994	Q3 1994	1994	*
11.11.1852	11.1852	Q4 1852	1852	*
10.10.1968	10.1968	Q4 1968	1968	*
07.07.1975	07.1975	Q3 1975	1975	*
12.05.1881	05.1881	Q2 1881	1881	*
09.02.1987	02.1987	Q1 1987	1987	*
12.04.1940	04.1940	Q2 1940	1940	*
01.08.2011	08.2011	Q3 2011	2011	*
03.12.1901	12.1901	Q4 1901	1901	*
11.12.2016	12.2016	Q4 2016	2016	*
17.05.1941	05.1941	Q2 1941	1941	*
15.02.1917	02.1917	Q1 1917	1917	*
30.05.1985	05.1985	Q2 1985	1985	*
25.09.2010	09.2010	Q3 2010	2010	*
20.03.1960	03.1960	Q1 1960	1960	*
01.04.1874	04.1874	Q2 1874	1874	*
07.03.1979	03.1979	Q1 1979	1979	*
22.10.1924	10.1924	Q4 1924	1924	*
18.07.2012	07.2012	Q3 2012	2012	*
14.01.1921	01.1921	Q1 1921	1921	*
14.05.1951	05.1951	Q2 1951	1951	*
01.11.1865	11.1865	Q4 1865	1865	*
18.11.1878	11.1878	Q4 1878	1878	*
24.01.1874	01.1874	Q1 1874	1874	*
08.05.1929	05.1929	Q2 1929	1929	*
01.12.1959	12.1959	Q4 1959	1959	*
02.1946	02.1946	Q1 1946	1946	*
23.01.1888	01.1888	Q1 1888	1888	*
01.05.1970	05.1970	Q2 1970	1970	*
18.11.1988	11.1988	Q4 1988	1988	*
11.08.2003	08.2003	Q3 2003	2003	*
01.02.1880	02.1880	Q1 1880	1880	*
29.08.1946	08.1946	Q3 1946	1946	*
28.02.1991	02.1991	Q1 1991	1991	*
19.03.1880	03.1880	Q1 1880	1880	*
18.02.1942	02.1942	Q1 1942	1942	*
12.10.1952	10.1952	Q4 1952	1952	*
12.01.1853	01.1853	Q1 1853	1853	*
07.01.1974	01.1974	Q1 1974	1974	*
23.11.1982	11.1982	Q4 1982	1982	*
25.06.1991	06.1991	Q2 1991	1991	*
29.11.1992	11.1992	Q4 1992	1992	*
09.12.1961	12.1961	Q4 1961	1961	*
07.07.1993	07.1993	Q3 1993	1993	*
23.04.1899	04.1899	Q2 1899	1899	*
21.05.1960	05.1960	Q2 1960	1960	*
01.10.1944	10.1944	Q4 1944	1944	*
13.10.2001	10.2001	Q4 2001	2001	*
15.06.1903	06.1903	Q2 1903	1903	*
25.03.1920	03.1920	Q1 1920	1920	*
