L0	L1	L2
9133	0917	0087
007407142672M8	00740714000001	00740000000000
9196	0661	0060
5456	0903	0060
9619	0890	0037
2126	0441	0056
005604412787M8	00560441000001	00560000000000
008408993927M8	00840899000001	00840000000000
003902053895M5	00390205000001	00390000000000
008408999034M8	00840899000001	00840000000000
007901719178M8	00790171000001	00790000000000
007106684416M8	00710668000001	00710000000000
7382	0205	0039
3175	0502	0071
007407149197M8	00740714000001	00740000000000
6775	0928	0060
4746	0214	0068
2411	0291	0079
8028	0622	0064
008105572998M8	00810557000001	00810000000000
1202	0353	0037
005604414553M8	00560441000001	00560000000000
008707324570M8	00870732000001	00870000000000
1968	0698	0087
00370000000000	00370000000000	00370000000000
2230	0255	0052
004504424347M8	00450442000001	00450000000000
1205	0567	0052
007407146794M8	00740714000001	00740000000000
5647	0899	0084
6894	0442	0045
1141	0725	0037
006802145403M8	00680214000001	00680000000000
9823	0834	0052
007407142074M8	00740714000001	00740000000000
1048	0792	0060
008706981893M8	00870698000001	00870000000000
9278	0205	0039
5224	0205	0039
5001	0698	0087
3193	0698	0087
007407142310M8	00740714000001	00740000000000
003706516122M8	00370651000001	00370000000000
9713	0855	0081
008709173818M8	00870917000001	00870000000000
006806386617M3	00680638000001	00680000000000
008709179133M7	00870917000001	00870000000000
003703532509M8	00370353000001	00370000000000
008707329208M8	00870732000001	00870000000000
003902053054M8	00390205000001	00390000000000
9181	0486	0050
1223	0528	0079
007907932710M8	00790793000001	00790000000000
007407143013M8	00740714000001	00740000000000
2702	0255	0052
4112	0431	0037
6488	0586	0079
008709176896M8	00870917000001	00870000000000
008706981968M8	00870698000001	00870000000000
003707255157M8	00370725000001	00370000000000
7390	0353	0037
008709173649M8	00870917000001	00870000000000
007407142713M8	00740714000001	00740000000000
003902059674M8	00390205000001	00390000000000
006806243109M8	00680624000001	00680000000000
006406227855M8	00640622000001	00640000000000
4079	0917	0087
6417	0557	0081
7739	0638	0068
1440	0171	0079
003702457141M8	00370245000001	00370000000000
7642	0283	0079
7220	0618	0050
9770	0247	0050
2776	0899	0084
9737	0142	0087
006806382545M8	00680638000001	00680000000000
00710000000000	00710000000000	00710000000000
008408994462M8	00840899000001	00840000000000
8150	0205	0039
7544	0486	0050
2395	0255	0052
4350	0441	0056
3450	0917	0087
006009286382M8	00600928000001	00600000000000
008108558069M8	00810855000001	00810000000000
6762	0917	0087
8767	0214	0068
3345	0191	0060
006001913449M8	00600191000001	00600000000000
008408999103M8	00840899000001	00840000000000
003703387324M8	00370338000001	00370000000000
5537	0338	0037
008408993658M8	00840899000001	00840000000000
5202	0430	0068
4308	0486	0050
3251	0430	0068
4038	0293	0071
1894	0917	0087
7063	0803	0045
005604415526M8	00560441000001	00560000000000
4769	0622	0064
7176	0293	0071
9068	0899	0084
8623	0698	0087
007407145967M8	00740714000001	00740000000000
006804304607M8	00680430000001	00680000000000
006009015521M8	00600901000001	00600000000000
007902914658M8	00790291000001	00790000000000
1678	0142	0087
008404801060M5	00840480000001	00840000000000
3083	0712	0068
5077	0917	0087
007905868066M8	00790586000001	00790000000000
006804303407M8	00680430000001	00680000000000
4675	0714	0074
008709178811M8	00870917000001	00870000000000
3874	0834	0052
3118	0714	0074
007904326249M8	00790432000001	00790000000000
9489	0247	0050
008105578806M8	00810557000001	00810000000000
6586	0441	0056
005002474613M8	00500247000001	00500000000000
8157	0430	0068
1579	0796	0079
1631	0442	0045
007907968308M8	00790796000001	00790000000000
007901713637M7	00790171000001	00790000000000
008105575232M8	00810557000001	00810000000000
008706983493M8	00870698000001	00870000000000
