L0	L1	L2	L3	L4	L5
N16.8	N16.8	N16	N10-N16	N00-N99	*
Z39.2	Z39.2	Z39	Z30-Z39	Z00-Z99	*
X69.4	X69.4	X69	X60-X84	V01-Y98	*
S48.1	S48.1	S48	S40-S49	S00-T98	*
V40.29	V40.2	V40	V40-V49	V01-Y98	*
X79.90	X79.9	X79	X60-X84	V01-Y98	*
W12.41	W12.4	W12	W00-W19	V01-Y98	*
Y02.29	Y02.2	Y02	X85-Y09	V01-Y98	*
V90.03	V90.0	V90	V90-V94	V01-Y98	*
X34.73	X34.7	X34	X30-X39	V01-Y98	*
W51.41	W51.4	W51	W50-W64	V01-Y98	*
X08.04	X08.0	X08	X00-X09	V01-Y98	*
Z11.2	Z11.2	Z11	Z00-Z13	Z00-Z99	*
X60.60	X60.6	X60	X60-X84	V01-Y98	*
Q86.1	Q86.1	Q86	Q80-Q89	Q00-Q99	*
X36.84	X36.8	X36	X30-X39	V01-Y98	*
W86.20	W86.2	W86	W85-W99	V01-Y98	*
W54.34	W54.3	W54	W50-W64	V01-Y98	*
V26.22	V26.2	V26	V20-V29	V01-Y98	*
X90.30	X90.3	X90	X85-Y09	V01-Y98	*
K25.6	K25.6	K25	K20-K31	K00-K93	*
X70.18	X70.1	X70	X60-X84	V01-Y98	*
X53.22	X53.2	X53	X50-X57	V01-Y98	*
M71.8	M71.8	M71	M70-M79	M00-M99	*
X45.0	X45.0	X45	X40-X49	V01-Y98	*
A20.3	A20.3	A20	A20-A28	A00-B99	*
G80	G80	G80	G80-G83	G00-G99	*
K70.3	K70.3	K70	K70-K77	K00-K93	*
W66.5	W66.5	W66	W65-W74	V01-Y98	*
W00.34	W00.3	W00	W00-W19	V01-Y98	*
W18.51	W18.5	W18	W00-W19	V01-Y98	*
Y20.61	Y20.6	Y20	Y10-Y34	V01-Y98	*
W92.21	W92.2	W92	W85-W99	V01-Y98	*
P80-P83	P80-P83	P80-P83	P80-P83	P00-P96	*
X50.2	X50.2	X50	X50-X57	V01-Y98	*
Z12.4	Z12.4	Z12	Z00-Z13	Z00-Z99	*
W86.1	W86.1	W86	W85-W99	V01-Y98	*
V75.79	V75.7	V75	V70-V79	V01-Y98	*
R09.1	R09.1	R09	R00-R09	R00-R99	*
X26.93	X26.9	X26	X20-X29	V01-Y98	*
Y11.98	Y11.9	Y11	Y10-Y34	V01-Y98	*
G91	G91	G91	G90-G99	G00-G99	*
D19.7	D19.7	D19	D10-D36	C00-D48	*
F79	F79	F79	F70-F79	F00-F99	*
Y59.8	Y59.8	Y59	Y40-Y59	V01-Y98	*
Y33.48	Y33.4	Y33	Y10-Y34	V01-Y98	*
K35	K35	K35	K35-K38	K00-K93	*
W41.20	W41.2	W41	W20-W49	V01-Y98	*
W55.88	W55.8	W55	W50-W64	V01-Y98	*
V84.99	V84.9	V84	V80-V89	V01-Y98	*
G70	G70	G70	G70-G73	G00-G99	*
J32.9	J32.9	J32	J30-J39	J00-J99	*
T04	T04	T04	T00-T07	S00-T98	*
V40.49	V40.4	V40	V40-V49	V01-Y98	*
Y19.59	Y19.5	Y19	Y10-Y34	V01-Y98	*
W69.41	W69.4	W69	W65-W74	V01-Y98	*
C82	C82	C82	C81-C96	C00-D48	*
